CID,BDATE,GEN
NASAW00011532,19620826,Female
NASAW00011533,19680717,Female
NASAW00011534,19640512,Male
NASAW00011535,19631231,Male
NASAW00011536,19690413,Male
NASAW00011537,19630921,Male
NASAW00011538,19650224,Female
NASAW00011539,19700818,Male
NASAW00011540,19700124,Male
NASAW00011541,19641009,Male
NASAW00011542,19790907,Male
NASAW00011543,19730816,Female
NASAW00011544,19790504,Male
NASAW00011545,19730922,Male
NASAW00011546,19730911,Female
NASAW00011547,19790305,Female
NASAW00011548,19740411,Male
NASAW00011549,19790903,Female
NASAW00011550,19790805,Female
NASAW00011551,20500521,Male
NASAW00011552,19721123,Male
NASAW00011553,19730308,Female
NASAW00011554,19320327,Female
NASAW00011555,19370704,Female
NASAW00011556,19721110,Male
NASAW00011557,19720714,Female
NASAW00011558,19730218,Male
NASAW00011559,19781212,Male
NASAW00011560,19780809,Female
NASAW00011561,19720121,Female
NASAW00011562,20381017,Male
NASAW00011563,19710801,Male
NASAW00011564,19720109,Male
NASAW00011565,19711230,Male
NASAW00011566,19730301,Female
NASAW00011567,19780919,Female
NASAW00011568,19720421,Female
NASAW00011569,19770506,Male
NASAW00011570,19710722,Female
NASAW00011571,19711115,Male
NASAW00011572,19770311,Male
NASAW00011573,19761111,Female
NASAW00011574,19710114,Female
NASAW00011575,19701019,Male
NASAW00011576,19700810,Male
NASAW00011577,19710421,Female
NASAW00011578,19700508,Female
NASAW00011579,19810213,Male
NASAW00011580,19390312,Male
NASAW00011581,20450303,Female
NASAW00011582,19740409,Female
NASAW00011583,19710326,Female
NASAW00011584,19710522,Male
NASAW00011585,19760304,Female
NASAW00011586,19710614,Male
NASAW00011587,19751018,Male
NASAW00011588,19700111,Female
NASAW00011589,19750501,Female
NASAW00011590,19800412,Female
NASAW00011591,19681112,Female
NASAW00011592,19840303,Male
NASAW00011593,19820922,Male
NASAW00011594,19850503,Male
NASAW00011595,19841229,Male
NASAW00011596,19690302,Male
NASAW00011597,19830806,Female
NASAW00011598,19831230,Female
NASAW00011599,19830316,Female
NASAW00011600,19821005,Female
NASAW00011601,19830218,Male
NASAW00011602,19821011,Male
NASAW00011603,19820806,Male
NASAW00011604,19821201,Male
NASAW00011605,19820520,Female
NASAW00011606,19860130,Female
NASAW00011607,19860505,Male
NASAW00011608,19810901,Male
NASAW00011609,19811224,Male
NASAW00011610,19801020,Male
NASAW00011611,19850223,Male
NASAW00011612,19851007,Male
NASAW00011613,19810502,Female
NASAW00011614,19810213,Female
NASAW00011615,19810520,Male
NASAW00011616,19800905,Female
NASAW00011617,19641001,Male
NASAW00011618,19641021,Male
NASAW00011619,19781029,Female
NASAW00011620,19781018,Female
NASAW00011621,19780819,Female
NASAW00011622,19790616,Male
NASAW00011623,19781225,Female
NASAW00011624,19840319,Male
NASAW00011625,19780719,Male
NASAW00011626,19781212,Female
NASAW00011627,19780827,Male
NASAW00011628,19771114,Female
NASAW00011629,19760807,Male
NASAW00011630,19770623,Female
NASAW00011631,19760812,Male
NASAW00011632,19820502,Female
NASAW00011633,19771123,Male
NASAW00011634,19771210,Male
NASAW00011635,19830811,Male
NASAW00011636,19780621,Female
NASAW00011637,19830811,Female
NASAW00011638,19770909,Male
NASAW00011639,19780622,Female
NASAW00011640,19751031,Female
NASAW00011641,19760209,Male
NASAW00011642,19760624,Female
NASAW00011643,19760124,Female
NASAW00011644,19750406,Male
NASAW00011645,19750418,Female
NASAW00011646,19800315,Female
NASAW00011647,19750322,Male
NASAW00011648,19800412,Male
NASAW00011649,19800123,Male
NASAW00011650,19750123,Male
NASAW00011651,19821213,Female
NASAW00011652,19820501,Male
NASAW00011653,19820604,Female
NASAW00011654,19770318,Female
NASAW00011655,19820328,Female
NASAW00011656,19770319,Female
NASAW00011657,19761031,Female
NASAW00011658,19850803,Male
NASAW00011659,19741020,Male
NASAW00011660,19800119,Female
NASAW00011661,19810103,Male
NASAW00011662,19760101,Male
NASAW00011663,19750825,Male
NASAW00011664,19750809,Female
NASAW00011665,19760611,Female
NASAW00011666,19811213,Male
NASAW00011667,19721218,Male
NASAW00011668,19840302,Female
NASAW00011669,19781017,Female
NASAW00011670,19730415,Female
NASAW00011671,19711115,Female
NASAW00011672,19720320,Male
NASAW00011673,19770203,Female
NASAW00011674,19720215,Female
NASAW00011675,19770129,Male
NASAW00011676,19710813,Male
NASAW00011677,19801010,Male
NASAW00011678,19740728,Male
NASAW00011679,19741105,Male
NASAW00011680,19750304,Female
NASAW00011681,19750204,Female
NASAW00011682,19800312,Female
NASAW00011683,19740705,Male
NASAW00011684,19710331,Male
NASAW00011685,19700807,Male
NASAW00011686,19760409,Male
NASAW00011687,19760709,Male
NASAW00011688,19761221,Female
NASAW00011689,19710306,Male
NASAW00011690,19760110,Female
NASAW00011691,19741230,Female
NASAW00011692,19691217,Male
NASAW00011693,19750921,Female
NASAW00011694,19690921,Male
NASAW00011695,19690710,Male
NASAW00011696,19750402,Female
NASAW00011697,19750621,Male
NASAW00011698,19751122,Male
NASAW00011699,19680912,Male
NASAW00011700,19690524,Male
NASAW00011701,19850816,Male
NASAW00011702,19741013,Female
NASAW00011703,19731222,Female
NASAW00011704,19731129,Male
NASAW00011705,19790518,Female
NASAW00011706,19680813,Male
NASAW00011707,19690620,Female
NASAW00011708,19740915,Female
NASAW00011709,19680818,Female
NASAW00011710,19670917,Female
NASAW00011711,19731204,Male
NASAW00011712,19680502,Female
NASAW00011713,19670917,Male
NASAW00011714,19680416,Female
NASAW00011715,19680320,Female
NASAW00011716,19670420,Male
NASAW00011717,19720829,Male
NASAW00011718,19721110,Female
NASAW00011719,19710505,Male
NASAW00011720,19650923,Female
NASAW00011721,19710118,Female
NASAW00011722,19651230,Male
NASAW00011723,19730217,Male
NASAW00011724,19721012,Male
NASAW00011725,19730316,Male
NASAW00011726,19730113,Male
NASAW00011727,19730105,Male
NASAW00011728,19650706,Male
NASAW00011729,19710503,Male
NASAW00011730,19660401,Female
NASAW00011731,19660216,Female
NASAW00011732,19700204,Male
NASAW00011733,19700723,Female
NASAW00011734,19700821,Male
NASAW00011735,19640721,Female
NASAW00011736,19700921,Male
NASAW00011737,19700204,Female
NASAW00011738,19701005,Male
NASAW00011739,19641110,Male
NASAW00011740,19641021,Female
NASAW00011741,19650122,Female
NASAW00011742,19640501,Male
NASAW00011743,19740909,Male
NASAW00011744,19640306,Female
NASAW00011745,19640411,Female
NASAW00011746,19640530,Male
NASAW00011747,19630809,Female
NASAW00011748,19640115,Male
NASAW00011749,19800909,Male
NASAW00011750,19840917,Female
NASAW00011751,19760114,Female
NASAW00011752,19810503,Female
NASAW00011753,19750915,Female
NASAW00011754,19760105,Female
NASAW00011755,19731112,Male
NASAW00011756,19740313,Female
NASAW00011757,19790511,Male
NASAW00011758,19791219,Male
NASAW00011759,19801118,Female
NASAW00011760,19730425,Female
NASAW00011761,19721016,Male
NASAW00011762,19840217,Male
NASAW00011763,19720810,Male
NASAW00011764,19730113,Female
NASAW00011765,19830406,Male
NASAW00011766,19720101,Female
NASAW00011767,19770520,Female
NASAW00011768,19830403,Male
NASAW00011769,19790214,Female
NASAW00011770,19790220,Male
NASAW00011771,19790407,Male
NASAW00011772,19840121,Male
NASAW00011773,19790103,Male
NASAW00011774,19781010,Female
NASAW00011775,20501122,Female
NASAW00011776,19781231,Male
NASAW00011777,19780121,Female
NASAW00011778,19760917,Female
NASAW00011779,19770115,Female
NASAW00011780,19770519,Female
NASAW00011781,19760906,Male
NASAW00011782,19820313,Female
NASAW00011783,19821113,Female
NASAW00011784,19780618,Male
NASAW00011785,19830221,Male
NASAW00011786,19780313,Male
NASAW00011787,19780305,Male
NASAW00011788,19770818,Female
NASAW00011789,19810216,Female
NASAW00011790,19810517,Male
NASAW00011791,19751019,Male
NASAW00011792,19741124,Female
NASAW00011793,19800316,Male
NASAW00011794,19750501,Female
NASAW00011795,19740815,Female
NASAW00011796,19850803,Female
NASAW00011797,19800303,Male
NASAW00011798,19740812,Male
NASAW00011799,19800909,Male
NASAW00011800,19750507,Female
NASAW00011801,19750316,Male
NASAW00011802,19770205,Female
NASAW00011803,19770311,Female
NASAW00011804,19761015,Female
NASAW00011805,19760908,Male
NASAW00011806,19820806,Female
NASAW00011807,19770303,Male
NASAW00011808,19741010,Male
NASAW00011809,19730701,Male
NASAW00011810,19780103,Male
NASAW00011811,19780611,Female
NASAW00011812,19730321,Male
NASAW00011813,19730511,Female
NASAW00011814,19760105,Male
NASAW00011815,19810420,Female
NASAW00011816,19811019,Male
NASAW00011817,19811123,Female
NASAW00011818,19751020,Male
NASAW00011819,19730408,Male
NASAW00011820,19770822,Female
NASAW00011821,19711013,Male
NASAW00011822,19711211,Female
NASAW00011823,19771020,Female
NASAW00011824,19771003,Female
NASAW00011825,19711115,Female
NASAW00011826,19710815,Female
NASAW00011827,19800916,Female
NASAW00011828,19800604,Female
NASAW00011829,19750502,Female
NASAW00011830,19740715,Female
NASAW00011831,19750524,Male
NASAW00011832,19760401,Female
NASAW00011833,19820116,Male
NASAW00011834,19820420,M
NASAW00011835,19701217,Male
NASAW00011836,19701025,M
NASAW00011837,19760805,F
NASAW00011838,19700809,Male
NASAW00011839,19760721,Male
NASAW00011840,19760513,Male
NASAW00011841,19690913,Male
NASAW00011842,19700403,Male
NASAW00011843,19751108,Female
NASAW00011844,19691006,Female
NASAW00011845,19300215,Female
NASAW00011846,19691213,Female
NASAW00011847,19700531,Female
NASAW00011848,19750224,Male
NASAW00011849,19700313,Female
NASAW00011850,19800916,Female
NASAW00011851,19690307,Female
NASAW00011852,19690423,Male
NASAW00011853,19791115,Female
NASAW00011854,19731016,Male
NASAW00011855,19740809,Male
NASAW00011856,19690213,Male
NASAW00011857,19740308,Female
NASAW00011858,19680605,Male
NASAW00011859,19680308,Male
NASAW00011860,19670709,Female
NASAW00011861,19671022,Female
NASAW00011862,19720911,Female
NASAW00011863,19670410,Female
NASAW00011864,19670306,Female
NASAW00011865,19660806,Female
NASAW00011866,19661230,Male
NASAW00011867,19710421,Male
NASAW00011868,19730131,Female
NASAW00011869,19840501,Female
NASAW00011870,19780710,Female
NASAW00011871,19780812,Male
NASAW00011872,19780717,Female
NASAW00011873,19721009,Male
NASAW00011874,19780306,Male
NASAW00011875,19660131,Male
NASAW00011876,19660513,Female
NASAW00011877,19660406,Female
NASAW00011878,19710204,Female
NASAW00011879,19710930,Male
NASAW00011880,19650216,Female
NASAW00011881,19650120,Male
NASAW00011882,19750905,Male
NASAW00011883,19650210,Female
NASAW00011884,19700422,Female
NASAW00011885,19700921,Male
NASAW00011886,19630720,Female
NASAW00011887,19631003,Male
NASAW00011888,19691218,Male
NASAW00011889,19631125,Male
NASAW00011890,19640514,Female
NASAW00011891,19690913,Female
NASAW00011892,19750407,Male
NASAW00011893,19740809,Male
NASAW00011894,19800430,Female
NASAW00011895,19750118,Male
NASAW00011896,19750518,Male
NASAW00011897,19740528,Male
NASAW00011898,19751231,Female
NASAW00011899,19760315,Female
NASAW00011900,19810303,Male
NASAW00011901,19730818,Female
NASAW00011902,19720914,Male
NASAW00011903,19851021,Female
NASAW00011904,19860505,Female
NASAW00011905,19741214,Male
NASAW00011906,19720817,Female
NASAW00011907,19730307,Female
NASAW00011908,19720108,Male
NASAW00011909,19710810,Female
NASAW00011910,19711210,Female
NASAW00011911,19720515,Female
NASAW00011912,20660616,Female
NASAW00011913,19701209,Female
NASAW00011914,19790505,Female
NASAW00011915,99990913,Male
NASAW00011916,19760903,Male
NASAW00011917,19710421,Male
NASAW00011918,19690831,Female
NASAW00011919,19690817,Male
NASAW00011920,19750224,Female
NASAW00011921,19700622,Male
NASAW00011922,19850213,Male
NASAW00011923,19850421,Female
NASAW00011924,19850423,Male
NASAW00011925,19840505,Female
NASAW00011926,19830915,Male
NASAW00011927,19840121,Female
NASAW00011928,19840306,Female
NASAW00011929,19620808,Female
NASAW00011930,19521031,Female
NASAW00011931,19840512,Male
